Player,Position,Team,Birthday,InjuryStatus
Malik Monk,SG,SAC,1998/02/04,Healthy
Keegan Murray,SF,SAC,2000/08/19,Healthy
KZ Okpala,SF,SAC,1999/04/28,Healthy
Neemias Queta,C,SAC,1999/07/13,Healthy
Domantas Sabonis,PF,SAC,1996/05/03,Healthy
Dominick Barlow,F,SA,2003/05/26,Healthy
Charles Bassey,C,SA,2000/10/28,Healthy
Keita Bates-Diop,SF,SA,1996/01/23,Day-To-Day
Malaki Branham,G,SA,2003/05/12,Healthy
Zach Collins,PF,SA,1997/11/19,Healthy
Gorgui Dieng,C,SA,1990/01/18,Healthy
Alize Johnson,F,SA,1996/04/22,Healthy
Keldon Johnson,SF,SA,1999/10/11,Healthy
Tre Jones,PG,SA,2000/01/08,Healthy
Romeo Langford,SG,SA,1999/10/25,Day-To-Day
Doug McDermott,SF,SA,1992/01/03,Healthy
Jakob Poeltl,C,SA,1995/10/15,Out
Josh Richardson,SG,SA,1993/09/15,Out
Isaiah Roby,PF,SA,1998/02/03,Healthy
Jeremy Sochan,F,SA,2003/05/20,Out
Devin Vassell,SG,SA,2000/08/23,Healthy
Blake Wesley,G,SA,2003/03/16,Out
Precious Achiuwa,PF,TOR,1999/09/19,Out
O.G. Anunoby,SF,TOR,1997/07/17,Healthy
Dalano Banton,PG,TOR,1999/11/07,Healthy
Scottie Barnes,SF,TOR,2001/08/01,Healthy
Khem Birch,C,TOR,1992/09/28,Healthy
Chris Boucher,PF,TOR,1993/01/11,Healthy
Justin Champagnie,SF,TOR,2001/06/29,Healthy
Jeff Dowtin Jr.,PG,TOR,1997/05/10,Healthy
Malachi Flynn,PG,TOR,1998/05/09,Healthy
Ron Harper Jr.,G,TOR,2000/04/12,Healthy
Juancho Hernangomez,PF,TOR,1995/09/28,Healthy
Christian Koloko,F,TOR,2000/06/20,Healthy
Otto Porter Jr.,SF,TOR,1993/06/03,Out
Pascal Siakam,PF,TOR,1994/04/02,Healthy
Gary Trent Jr.,SG,TOR,1999/01/18,Healthy
Fred VanVleet,SG,TOR,1994/02/25,Healthy
Thaddeus Young,PF,TOR,1988/06/21,Healthy
Ochai Agbaji,G,UTAH,2000/04/20,Healthy
Nickeil Alexander-Walker,SG,UTAH,1998/09/02,Healthy
Udoka Azubuike,C,UTAH,1999/09/17,Healthy
Malik Beasley,SG,UTAH,1996/11/26,Healthy
Leandro Bolmaro,SG,UTAH,2000/09/11,Out
Jordan Clarkson,PG,UTAH,1992/06/07,Healthy
Mike Conley,PG,UTAH,1987/10/11,Out
Simone Fontecchio,F,UTAH,1995/12/09,Healthy
Rudy Gay,SF,UTAH,1986/08/17,Out
Talen Horton-Tucker,SG,UTAH,2000/11/25,Healthy
Johnny Juzang,G,UTAH,2001/03/17,Out
Walker Kessler,C,UTAH,2001/07/26,Healthy
Lauri Markkanen,PF,UTAH,1997/05/22,Healthy
Kelly Olynyk,PF,UTAH,1991/04/19,Healthy
Micah Potter,C,UTAH,1998/04/06,Healthy
Collin Sexton,PG,UTAH,1999/01/04,Healthy
Jarred Vanderbilt,PF,UTAH,1999/04/03,Healthy
Deni Avdija,SF,WSH,2001/01/03,Healthy
